
time,foot
19.29407,Right,
19.41754,Left,
19.52165,Right,
19.6459,Left,
19.7805,Right,
19.89447,Left,
19.98402,Right,
20.1494,Left,
20.26639,Right,
20.401,Left,
21.61786,Right,

time,foot
0,Left,
1.84662,Right,
2.098213,Left,
2.403012,Right,
2.678247,Left,
2.958444,Right,
3.216868,Left,
3.481744,Right,
3.76752,Left,
4.063856,Right,
4.321462,Left,
4.581558,Right,
4.84327,Left,
5.095416,Right,
5.389666,Left,
5.683871,Right,
5.978219,Left,
6.232757,Right,
6.507009,Left,
6.774836,Right,
7.017693,Left,
7.297487,Right,
7.563399,Left,
7.854665,Right,
8.115418,Left,
8.424975,Right,
8.674186,Left,
8.952823,Right,
9.206586,Left,
9.507139,Right,
9.738409,Left,
10.01313,Right,
10.28989,Left,
10.58007,Right,
10.83877,Left,
11.13201,Right,
11.39922,Left,
11.68491,Right,
11.95653,Left,
12.22284,Right,
12.49549,Left,
12.79325,Right,
13.05782,Left,
13.33013,Right,
13.60479,Left,
13.87256,Right,
14.14167,Left,
14.41758,Right,
14.69274,Left,
14.96878,Right,
15.23069,Left,
15.52369,Right,
15.78668,Left,
16.04538,Right,
16.31924,Left,
16.60458,Right,
16.86906,Left,
17.14946,Right,
17.42465,Left,
17.69282,Right,
17.98972,Left,
18.23189,Right,
19.01468,Left,
19.57347,Right,
20.1394,Left,
20.70266,Right,
21.2286,Left,
21.76796,Right,
22.35958,Left,
22.90218,Right,
23.43674,Left,
23.97459,Right,
24.55761,Left,
25.11773,Right,
25.63332,Left,
26.18042,Right,
26.75121,Left,
27.28987,Right,
27.81552,Left,
28.39354,Right,
28.92059,Left,
29.50114,Right,
30.03366,Left,
30.53512,Right,
31.14144,Left,
31.6563,Right,
32.22482,Left,
32.78318,Right,
33.31338,Left,
33.83424,Right,
34.36478,Left,
34.91019,Right,
35.48903,Left,
36.04455,Right,
36.55988,Left,
37.08389,Right,
37.65809,Left,
38.17459,Right,
38.7235,Left,
39.27425,Right,
39.82386,Left,
40.3546,Right,
40.92818,Left,
41.44254,Right,
42.00491,Left,
42.54606,Right,

time,foot

time,foot

time,foot
0,Left,
1.215904,Right,
1.703325,Left,

time,foot
0,Right,
1.384821,Left,
1.884057,Right,
2.466247,Left,
3.051275,Right,
3.629194,Left,
4.23105,Right,
4.709776,Left,
5.147187,Right,
5.720603,Left,
6.29421,Right,
6.83799,Left,
7.386512,Right,
7.897937,Left,
8.457512,Right,
8.986288,Left,
9.509747,Right,
10.06511,Left,
10.65907,Right,
11.21183,Left,
11.68402,Right,
12.2455,Left,
12.80129,Right,
13.34883,Left,
13.88044,Right,
14.43242,Left,
14.98055,Right,
15.49356,Left,
16.04291,Right,
