time,foot
12.71439,Right,
13.23068,Left,
13.79722,Right,
14.35183,Left,
14.86725,Right,
15.40795,Left,
15.96286,Right,
16.45568,Left,
17.05237,Right,
17.62242,Left,
18.46654,Right,
19.70524,Left,
20.81339,Right,
21.89574,Left,
22.63962,Right,
23.42241,Left,
24.02157,Right,
24.45582,Left,
24.78161,Right,
25.09489,Left,
25.40447,Right,
25.6827,Left,
26.03121,Right,
26.41404,Left,
26.69241,Right,
27.01729,Left,
27.34485,Right,
27.81569,Left,
28.17225,Right,
28.64774,Left,
29.46261,Right,
30.16374,Left,
31.1887,Right,
33.30445,Left,
35.06024,Right,
35.42413,Left,
35.68116,Right,
35.90509,Left,
36.20491,Right,
36.42974,Left,
36.65667,Right,
36.85038,Left,
37.08366,Right,
37.30645,Left,
37.52665,Right,
37.82308,Left,
38.22639,Right,
38.8191,Left,
39.42247,Right,
40.13818,Left,
40.70397,Right,
41.38157,Left,
42.04169,Right,
42.63581,Left,
43.29313,Right,
43.96779,Left,
46.30788,Right,
46.85936,Left,
47.15086,Right,
49.25197,Left,
49.83792,Right,
50.50887,Left,
51.10268,Right,
51.62215,Left,
52.19415,Right,
52.81673,Left,
53.43479,Right,
54.01615,Left,
54.53284,Right,
55.11128,Left,
55.63401,Right,
55.99732,Left,
58.90769,Right,
59.32856,Left,
59.83801,Right,
60.37958,Left,
60.89378,Right,
61.4445,Left,
61.95438,Right,
62.50146,Left,
63.03712,Right,
63.62327,Left,
64.13625,Right,

time,foot
0.1670129,Right,
2.99986,Left,
3.700305,Right,
4.300435,Left,
4.900156,Right,
5.433486,Left,
6.014002,Right,
6.599777,Left,
7.166501,Right,
7.816586,Left,
8.449596,Right,
9.044378,Left,
9.665644,Right,
10.2926,Left,
10.86084,Right,
11.47924,Left,
12.08348,Right,
12.66552,Left,
13.31681,Right,
13.91935,Left,
14.50973,Right,
15.14258,Left,
15.75726,Right,
16.39061,Left,
17.00162,Right,
17.54634,Left,
18.14137,Right,
18.63985,Left,
19.20726,Right,
19.74646,Left,
20.26405,Right,
20.81521,Left,
20.91215,Right,
21.33409,Right,
21.84087,Left,
22.41199,Right,
22.9141,Left,
23.41852,Right,
23.95477,Left,
24.49774,Right,
25.00134,Left,
25.59511,Right,
26.12159,Left,
26.68404,Right,
27.17887,Left,
27.74677,Right,
28.29151,Left,
28.87051,Right,
29.33252,Left,
29.93815,Right,
30.44996,Left,
31.03216,Right,
31.546,Left,
32.10231,Right,
32.62636,Left,
33.18192,Right,
33.71261,Left,
34.26011,Right,
34.80213,Left,
35.34308,Right,
35.81214,Left,
36.35859,Right,
36.91457,Left,
37.48206,Right,
38.03389,Left,
38.61013,Right,
39.11495,Left,
39.65821,Right,
40.17621,Left,
40.73798,Right,
41.24934,Left,
41.87655,Right,
42.39211,Left,
42.96379,Right,
43.49807,Left,
44.03321,Right,
44.5984,Left,
45.21975,Right,
45.72248,Left,
46.30009,Right,
46.81395,Left,
47.40169,Right,
47.91733,Left,
48.49964,Right,
49.02612,Left,
49.62814,Right,
50.10857,Left,
50.78936,Right,
